City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Onega,RU,63.9061,38.1404,32.05,75,71,10.6,broken clouds
303,Longyearbyen,SJ,78.2186,15.6401,30.04,86,75,12.66,broken clouds
304,Sitka,US,57.0531,-135.33,48.09,93,100,13.8,mist
305,Praia,CV,14.9215,-23.5087,81.14,61,75,20.71,broken clouds
306,Lasa,IT,46.6166,10.7002,44.02,89,8,3.69,clear sky
307,Asau,RO,46.4333,26.4,42.28,59,12,1.59,few clouds
308,Ban Nahin,LA,18.2418,104.2122,74.88,81,48,3.8,scattered clouds
309,Chuy,UY,-33.6971,-53.4616,72.34,78,100,14.63,overcast clouds
310,Briancon,FR,44.9,6.65,43.3,86,98,3.42,overcast clouds
311,Vao,NC,-22.6667,167.4833,73.29,84,85,17.0,overcast clouds
312,Mahon,ES,39.8885,4.2658,64.96,77,40,6.91,scattered clouds
313,Mumford,GH,5.2618,-0.759,81.45,73,100,7.09,overcast clouds
314,Isangel,VU,-19.55,169.2667,76.98,83,11,5.68,few clouds
315,Beyneu,KZ,45.3167,55.2,45.63,86,100,24.96,overcast clouds
316,Ribeira Grande,PT,38.5167,-28.7,66.6,68,40,14.97,scattered clouds
317,Redcliffe,AU,-27.2307,153.0973,72.21,83,75,19.57,broken clouds
318,Zhangye,CN,38.9342,100.4517,32.7,42,3,4.97,clear sky
319,Camp Verde,US,34.5636,-111.8543,54.39,42,1,5.44,clear sky
320,Barberton,ZA,-25.7884,31.0532,71.19,91,97,1.39,overcast clouds
321,Mosquera,CO,4.7059,-74.2302,64.49,63,40,4.61,scattered clouds
322,Harper,LR,4.375,-7.7169,81.82,73,88,9.24,overcast clouds
323,Hamilton,US,39.1834,-84.5333,36.23,81,100,9.22,light rain
324,Ust-Tsilma,RU,65.441,52.1498,15.76,91,100,10.78,light snow
325,Kismayo,SO,-0.3582,42.5454,79.21,82,48,10.09,scattered clouds
326,Coahuayana,MX,18.7333,-103.6833,82.33,62,66,1.12,broken clouds
327,Nagpur,IN,21.15,79.1,66.22,72,5,0.0,haze
328,Cayenne,GF,4.9333,-52.3333,78.84,89,75,11.5,mist
329,Pyay,MM,18.8167,95.2167,72.75,75,68,4.92,broken clouds
330,Mount Isa,AU,-20.7333,139.5,73.17,100,52,0.0,light rain
331,Karratha,AU,-20.7377,116.8463,77.79,47,0,6.44,light rain
332,Hojai,IN,26.0,92.8667,64.99,88,0,2.42,clear sky
333,Ca Mau,VN,9.1769,105.15,76.64,95,98,5.06,overcast clouds
334,Jamame,SO,0.0722,42.7506,79.02,81,71,8.5,light rain
335,Wattegama,LK,6.7989,81.4808,74.73,93,100,0.18,overcast clouds
336,San Patricio,US,28.017,-97.5169,54.93,49,0,10.45,clear sky
337,Shimoda,JP,34.6667,138.95,67.8,87,57,4.09,broken clouds
338,Koumac,NC,-20.5667,164.2833,73.49,86,57,6.76,broken clouds
339,Marquette,US,46.5333,-87.6335,28.33,87,87,9.6,light snow
340,Nouadhibou,MR,20.931,-17.0347,70.32,77,0,17.56,clear sky
341,Mallaig,CA,54.2169,-111.3685,10.17,97,91,7.4,overcast clouds
342,Tucurui,BR,-3.7661,-49.6725,97.36,38,21,2.59,few clouds
343,Rawson,AR,-43.3002,-65.1023,69.48,44,100,12.86,overcast clouds
344,Beringovskiy,RU,63.05,179.3167,10.92,96,100,4.32,overcast clouds
